Rename,OriginalName
CORE2019MOF11800,ja204757x_si_002_clean
CORE2019MOF11801,ja204757x_si_003_clean
CORE2019MOF11802,ja206029a_si_003_clean
CORE2019MOF11803,ja406030p_si_010_clean
CORE2019MOF11804,ja508679h_si_001_clean
CORE2019MOF11805,ja5111317_ja5111317_si_003_clean
CORE2019MOF11806,ja5b00450_si_002_clean
CORE2019MOF11807,ja5b00450_si_005_clean
CORE2019MOF11808,ja6b00695_si_001_clean
CORE2019MOF11809,JACQUA_clean
CORE2019MOF11810,jacs.5b11034_ja5b11034_si_002_clean
CORE2019MOF11811,jacs.6b01663_ja6b01663_si_002_clean
CORE2019MOF11812,jacs.6b03263_ja6b03263_si_002_clean
CORE2019MOF11813,jacs.6b04608_ja6b04608_si_002_clean
CORE2019MOF11814,jacs.6b06375_ja6b06375_si_001_clean
CORE2019MOF11815,JALLIU_clean
CORE2019MOF11816,j.inoche.2015.03.005_INC05902-mmc1_clean
CORE2019MOF11817,j.jssc.2015.08.048_mmc2_clean
CORE2019MOF11818,j.jssc.2016.06.015_ZJU-10_clean
CORE2019MOF11819,JOBFAI_clean
CORE2019MOF11820,JOHSIJ_clean
CORE2019MOF11821,JOZWOM_clean
CORE2019MOF11822,JOZWUS_clean
CORE2019MOF11823,jp302979a_si_002_clean
CORE2019MOF11824,JUKPEM_clean
CORE2019MOF11825,KACGED_clean
CORE2019MOF11826,KARMUN_clean
CORE2019MOF11827,KITWER_clean
CORE2019MOF11828,KONCIB_clean
CORE2019MOF11829,KOQGAA_clean
CORE2019MOF11830,KOQJOR_clean
CORE2019MOF11831,KUSDOT_clean
CORE2019MOF11832,KUXROM_clean
CORE2019MOF11833,LABMUZ_clean
CORE2019MOF11834,LABPIQ_clean
CORE2019MOF11835,LABPOW_clean
CORE2019MOF11836,LABPUC_clean
CORE2019MOF11837,LAPMEX_clean
CORE2019MOF11838,LAPMOH_clean
CORE2019MOF11839,LATBUG_clean
CORE2019MOF11840,LATCAN_clean
CORE2019MOF11841,LAZXIV_clean
CORE2019MOF11842,LELDOX_clean
CORE2019MOF11843,LEVPEJ_clean
